SEQ,SCCNT_YM,ORIGIN_SN_ID,KWRD_NM,SRCHWRD_NM,SCCNT,ORIGIN_TY
345130,22-Jun,KC495PP19N026010,에버랜드,에버랜드,867100,관광명소
342917,22-Jun,KC495PP19N026003,롯데월드,롯데월드,793800,관광명소
344218,22-Jun,KC495PP19N026005,서울랜드,서울랜드,296100,관광명소
341473,22-Jun,CULTURE_001254,경복궁,경복궁,248900,관광명소
341352,22-Jun,CULTURE_001471,강릉,강릉,240500,관광명소
341369,22-Jun,KC495PP19N026012,강원랜드,강원랜드,203100,관광명소
344222,22-Jun,KC498PP19N008095,서울숲,서울숲,141200,관광명소
344753,22-Jun,KC498PP19N005935,시흥웨이브파크(2020년6월예정),시흥웨이브파크,135900,관광명소
342542,22-Jun,KC495PP19N026068,대천해수욕장,대천해수욕장,132800,관광명소
345092,22-Jun,KC495PP19N026002,어린이대공원,어린이대공원,113070,관광명소
344217,22-Jun,KC495PP19N025985,서울대공원,서울대공원,112300,관광명소
346431,22-Jun,SAN_0649,지리산,지리산,105000,관광명소
347180,22-Jun,SAN_0734,한라산,한라산,102800,관광명소
345756,22-Jun,KC495PP19N033737,월미도,월미도,101100,관광명소
345534,22-Jun,KC498PP19N005320,용산공원,용산공원,99400,관광명소
345429,22-Jun,KC498PP19N003230,올림픽공원,올림픽공원,96500,관광명소
345882,22-Jun,KC495PP19N026062,을왕리해수욕장,을왕리해수욕장,89300,관광명소
345936,22-Jun,KC495PP19N026020,이월드,이월드,89100,관광명소
347236,22-Jun,KC495PP19N026114,함덕해수욕장,함덕해수욕장,88000,관광명소
344718,22-Jun,KC495PP19N019991,스포츠몬스터,스포츠몬스터,85660,관광명소
342184,22-Jun,CULTURE_001509,남한산성,남한산성,82600,관광명소
347028,22-Jun,KC498PP19N000298,포천아트밸리,포천아트밸리,81970,관광명소
347343,22-Jun,KC495PP19N026067,협재해수욕장,협재해수욕장,80090,관광명소
342950,22-Jun,KC495PP19N022603,마산로봇랜드,마산로봇랜드,78170,관광명소
343470,22-Jun,SAN_0284,백두산,백두산,76500,관광명소
344961,22-Jun,SAN_0480,안산,안산,76500,관광명소
342594,22-Jun,CULTURE_001248,덕수궁,덕수궁,75000,관광명소
343841,22-Jun,KC495PP19N023376,뽀로로테마파크,뽀로로테마파크,73730,관광명소
343842,22-Jun,KC495PP19N022710,뽀로로테마파크(2020년5월예정),뽀로로테마파크,73730,관광명소
342822,22-Jun,KC495PP19N033893,두리랜드(공사중),두리랜드,67910,관광명소
345156,22-Jun,KC498PP19N000039,여의도한강공원,여의도한강공원,67410,관광명소
342918,22-Jun,KC495PP19N020015,루지,루지,64910,관광명소
346533,22-Jun,CULTURE_001249,창덕궁,창덕궁,63500,관광명소
345532,22-Jun,SAN_0546,용산,용산,62200,관광명소
344198,22-Jun,SAN_0416,서산,서산,62100,관광명소
343391,22-Jun,KC498PP19N008149,반포한강공원,반포한강공원,61710,관광명소
344348,22-Jun,SAN_0433,설악산,설악산,59700,관광명소
344504,22-Jun,KC495PP19N026055,속초해수욕장,속초해수욕장,55280,관광명소
341679,22-Jun,KC498PP19N001608,광교호수공원,광교호수공원,53740,관광명소
342787,22-Jun,KC498PP19N004250,동탄호수공원,동탄호수공원,53290,관광명소
343758,22-Jun,SAN_0361,북한산,북한산,52140,관광명소
342900,22-Jun,KC498PP19N008156,뚝섬한강공원,뚝섬한강공원,50160,관광명소
342098,22-Jun,KC498PP19N007232,낙산공원,낙산공원,49590,관광명소
