SEQ,SCCNT_YM,ORIGIN_SN_ID,KWRD_NM,SRCHWRD_NM,SCCNT,ORIGIN_TY
310364,Mar-22,KC495PP19N026010,에버랜드,에버랜드,700900,관광명소
304582,Mar-22,KC495PP19N026003,롯데월드,롯데월드,601400,관광명소
300510,Mar-22,KC495PP19N026012,강원랜드,강원랜드,248100,관광명소
300463,Mar-22,CULTURE_001471,강릉,강릉,234800,관광명소
308021,Mar-22,KC495PP19N026005,서울랜드,서울랜드,206800,관광명소
300792,Mar-22,CULTURE_001254,경복궁,경복궁,180900,관광명소
311445,Mar-22,SAN_0546,용산,용산,176600,관광명소
312482,Mar-22,KC495PP19N026020,이월드,이월드,123700,관광명소
310273,Mar-22,KC495PP19N026002,어린이대공원,어린이대공원,117100,관광명소
308018,Mar-22,KC495PP19N025985,서울대공원,서울대공원,111700,관광명소
308033,Mar-22,KC498PP19N008095,서울숲,서울숲,107400,관광명소
315736,Mar-22,SAN_0734,한라산,한라산,106700,관광명소
311329,Mar-22,SAN_0540,용각산,용각산,96800,관광명소
314069,Mar-22,CULTURE_001249,창덕궁,창덕궁,91700,관광명소
309911,Mar-22,SAN_0480,안산,안산,86800,관광명소
308202,Mar-22,KC498PP19N000632,석촌호수,석촌호수,85200,관광명소
313798,Mar-22,SAN_0649,지리산,지리산,82300,관광명소
302662,Mar-22,CULTURE_001509,남한산성,남한산성,73100,관광명소
309054,Mar-22,SAN_0455,수리산,수리산,63270,관광명소
306808,Mar-22,SAN_0361,북한산,북한산,59060,관광명소
312016,Mar-22,KC495PP19N033737,월미도,월미도,58800,관광명소
309316,Mar-22,KC495PP19N019991,스포츠몬스터,스포츠몬스터,57260,관광명소
307042,Mar-22,KC495PP19N023376,뽀로로테마파크,뽀로로테마파크,54100,관광명소
307045,Mar-22,KC495PP19N022710,뽀로로테마파크(2020년5월예정),뽀로로테마파크,54100,관광명소
303736,Mar-22,CULTURE_001248,덕수궁,덕수궁,53640,관광명소
307969,Mar-22,SAN_0416,서산,서산,53600,관광명소
306040,Mar-22,SAN_0284,백두산,백두산,50650,관광명소
311451,Mar-22,KC498PP19N005320,용산공원,용산공원,49340,관광명소
314385,Mar-22,SAN_0684,청계산,청계산,48150,관광명소
315885,Mar-22,KC495PP19N026114,함덕해수욕장,함덕해수욕장,48070,관광명소
304668,Mar-22,KC495PP19N022603,마산로봇랜드,마산로봇랜드,47320,관광명소
314057,Mar-22,CULTURE_001251,창경궁,창경궁,46870,관광명소
312582,Mar-22,KC498PP19N008158,인천대공원,인천대공원,46580,관광명소
311176,Mar-22,KC498PP19N003230,올림픽공원,올림픽공원,46110,관광명소
302443,Mar-22,KC498PP19N007232,낙산공원,낙산공원,44630,관광명소
310438,Mar-22,KC498PP19N000039,여의도한강공원,여의도한강공원,43450,관광명소
308353,Mar-22,SAN_0433,설악산,설악산,43020,관광명소
301296,Mar-22,SAN_0065,관악산,관악산,42260,관광명소
316178,Mar-22,KC495PP19N026067,협재해수욕장,협재해수욕장,41630,관광명소
303588,Mar-22,KC495PP19N026068,대천해수욕장,대천해수욕장,41620,관광명소
309019,Mar-22,SAN_0453,수락산,수락산,41560,관광명소
301219,Mar-22,KC498PP19N000024,공원,공원,41470,관광명소
301341,Mar-22,KC498PP19N001608,광교호수공원,광교호수공원,41070,관광명소
312366,Mar-22,SAN_0577,응봉산,응봉산,40160,관광명소
304585,Mar-22,KC495PP19N020015,루지,루지,39340,관광명소
