SEQ,SCCNT_YM,ORIGIN_SN_ID,KWRD_NM,SRCHWRD_NM,SCCNT,ORIGIN_TY
299114,Dec-21,SAN_0649,지리산,지리산,1605700,관광명소
296173,Dec-21,KC495PP19N026003,롯데월드,롯데월드,908400,관광명소
294864,Dec-21,CULTURE_001471,강릉,강릉,600500,관광명소
298019,Dec-21,KC495PP19N026010,에버랜드,에버랜드,592300,관광명소
294880,Dec-21,KC495PP19N026012,강원랜드,강원랜드,272100,관광명소
299724,Dec-21,SAN_0734,한라산,한라산,206700,관광명소
294969,Dec-21,CULTURE_001254,경복궁,경복궁,160300,관광명소
298684,Dec-21,KC495PP19N026020,이월드,이월드,156400,관광명소
295918,Dec-21,SAN_0179,덕유산,덕유산,150600,관광명소
297260,Dec-21,KC495PP19N026005,서울랜드,서울랜드,138400,관광명소
297872,Dec-21,SAN_0480,안산,안산,100000,관광명소
296630,Dec-21,SAN_0284,백두산,백두산,77300,관광명소
296729,Dec-21,SAN_0318,변산,변산,77080,관광명소
295572,Dec-21,CULTURE_001509,남한산성,남한산성,72800,관광명소
297684,Dec-21,KC495PP19N019991,스포츠몬스터,스포츠몬스터,63050,관광명소
297264,Dec-21,KC498PP19N008095,서울숲,서울숲,60840,관광명소
298536,Dec-21,KC495PP19N033737,월미도,월미도,60190,관광명소
295501,Dec-21,KC498PP19N007232,낙산공원,낙산공원,55570,관광명소
299725,Dec-21,KC498PP19N007861,한라산국립공원,한라산국립공원,55530,관광명소
297365,Dec-21,SAN_0433,설악산,설악산,54550,관광명소
298266,Dec-21,KC498PP19N003230,올림픽공원,올림픽공원,54370,관광명소
296957,Dec-21,KC495PP19N023376,뽀로로테마파크,뽀로로테마파크,53950,관광명소
296958,Dec-21,KC495PP19N022710,뽀로로테마파크(2020년5월예정),뽀로로테마파크,53950,관광명소
298356,Dec-21,KC498PP19N005320,용산공원,용산공원,53590,관광명소
296880,Dec-21,SAN_0361,북한산,북한산,52290,관광명소
295864,Dec-21,KC495PP19N026068,대천해수욕장,대천해수욕장,50870,관광명소
299482,Dec-21,SAN_0708,태백산,태백산,50050,관광명소
297987,Dec-21,KC495PP19N026002,어린이대공원,어린이대공원,47190,관광명소
297243,Dec-21,SAN_0416,서산,서산,46820,관광명소
295804,Dec-21,SAN_0158,대둔산,대둔산,46690,관광명소
295911,Dec-21,CULTURE_001248,덕수궁,덕수궁,45320,관광명소
298354,Dec-21,SAN_0546,용산,용산,44070,관광명소
296200,Dec-21,KC495PP19N022603,마산로봇랜드,마산로봇랜드,43590,관광명소
296174,Dec-21,KC495PP19N020015,루지,루지,41220,관광명소
297259,Dec-21,KC495PP19N025985,서울대공원,서울대공원,38800,관광명소
297469,Dec-21,SAN_0445,소백산,소백산,38120,관광명소
299196,Dec-21,CULTURE_001249,창덕궁,창덕궁,37890,관광명소
298644,Dec-21,KC495PP19N026062,을왕리해수욕장,을왕리해수욕장,37680,관광명소
299606,Dec-21,KC498PP19N000298,포천아트밸리,포천아트밸리,37590,관광명소
295172,Dec-21,KC495PP19N026008,광주패밀리랜드,광주패밀리랜드,36830,관광명소
299774,Dec-21,KC495PP19N026114,함덕해수욕장,함덕해수욕장,34910,관광명소
299865,Dec-21,KC495PP19N026067,협재해수욕장,협재해수욕장,34130,관광명소
296389,Dec-21,SAN_0249,무등산,무등산,33470,관광명소
297663,Dec-21,KC495PP19N014706,순천만국가정원,순천만국가정원,31950,관광명소
295145,Dec-21,KC498PP19N001608,광교호수공원,광교호수공원,31460,관광명소
296737,Dec-21,KC495PP19N020192,별빛정원우주,별빛정원우주,30910,관광명소
299260,Dec-21,KC495PP19N032678,천지연폭포,천지연폭포,29160,관광명소
299295,Dec-21,SAN_0684,청계산,청계산,28900,관광명소
299289,Dec-21,CULTURE_001236,첨성대,첨성대,28830,관광명소
295534,Dec-21,SAN_0128,남산,남산,27970,관광명소
