SEQ,SCCNT_YM,ORIGIN_SN_ID,KWRD_NM,SRCHWRD_NM,SCCNT,ORIGIN_TY
292613,Nov-21,SAN_0649,지리산,지리산,3384600,관광명소
283149,Nov-21,CULTURE_001471,강릉,강릉,1493600,관광명소
286056,Nov-21,KC495PP19N026003,롯데월드,롯데월드,905000,관광명소
290175,Nov-21,KC495PP19N026010,에버랜드,에버랜드,770200,관광명소
283183,Nov-21,KC495PP19N026012,강원랜드,강원랜드,300900,관광명소
283386,Nov-21,CULTURE_001254,경복궁,경복궁,289400,관광명소
288507,Nov-21,KC495PP19N026005,서울랜드,서울랜드,221900,관광명소
288515,Nov-21,KC498PP19N008095,서울숲,서울숲,136400,관광명소
290944,Nov-21,KC498PP19N005320,용산공원,용산공원,135700,관광명소
284765,Nov-21,SAN_0135,내장산,내장산,132700,관광명소
293997,Nov-21,SAN_0734,한라산,한라산,131200,관광명소
283555,Nov-21,KC495PP19N026000,고성공룡엑스포,고성공룡엑스포,126800,관광명소
285466,Nov-21,CULTURE_001248,덕수궁,덕수궁,118400,관광명소
284711,Nov-21,CULTURE_001509,남한산성,남한산성,115800,관광명소
291670,Nov-21,KC495PP19N026020,이월드,이월드,112200,관광명소
288505,Nov-21,KC495PP19N025985,서울대공원,서울대공원,107500,관광명소
292810,Nov-21,CULTURE_001249,창덕궁,창덕궁,103900,관광명소
290745,Nov-21,KC498PP19N003230,올림픽공원,올림픽공원,102700,관광명소
290107,Nov-21,KC495PP19N026002,어린이대공원,어린이대공원,91680,관광명소
292802,Nov-21,CULTURE_001251,창경궁,창경궁,91500,관광명소
289859,Nov-21,SAN_0480,안산,안산,87300,관광명소
285237,Nov-21,SAN_0158,대둔산,대둔산,81250,관광명소
288742,Nov-21,SAN_0433,설악산,설악산,79400,관광명소
286112,Nov-21,KC495PP19N022603,마산로봇랜드,마산로봇랜드,77590,관광명소
287084,Nov-21,SAN_0284,백두산,백두산,74300,관광명소
292411,Nov-21,KC498PP19N007857,주왕산국립공원,주왕산국립공원,71700,관광명소
292409,Nov-21,SAN_0638,주왕산,주왕산,71620,관광명소
285480,Nov-21,SAN_0179,덕유산,덕유산,71270,관광명소
291741,Nov-21,KC498PP19N008158,인천대공원,인천대공원,68780,관광명소
289386,Nov-21,KC495PP19N014706,순천만국가정원,순천만국가정원,65650,관광명소
291343,Nov-21,KC495PP19N033737,월미도,월미도,65000,관광명소
289434,Nov-21,KC495PP19N019991,스포츠몬스터,스포츠몬스터,63220,관광명소
290463,Nov-21,SAN_0508,영축산,영축산,61540,관광명소
286058,Nov-21,KC495PP19N020015,루지,루지,61480,관광명소
287643,Nov-21,SAN_0361,북한산,북한산,60760,관광명소
287809,Nov-21,KC495PP19N023376,뽀로로테마파크,뽀로로테마파크,59020,관광명소
287811,Nov-21,KC495PP19N022710,뽀로로테마파크(2020년5월예정),뽀로로테마파크,59020,관광명소
289018,Nov-21,SAN_0448,속리산,속리산,58350,관광명소
293727,Nov-21,KC498PP19N000298,포천아트밸리,포천아트밸리,56290,관광명소
293832,Nov-21,KC498PP19N002828,하늘공원,하늘공원,55200,관광명소
284549,Nov-21,KC498PP19N007232,낙산공원,낙산공원,54740,관광명소
288467,Nov-21,SAN_0416,서산,서산,48050,관광명소
283829,Nov-21,KC495PP19N026008,광주패밀리랜드,광주패밀리랜드,45520,관광명소
293009,Nov-21,CULTURE_001236,첨성대,첨성대,45510,관광명소
285366,Nov-21,KC495PP19N026068,대천해수욕장,대천해수욕장,45340,관광명소
293029,Nov-21,SAN_0684,청계산,청계산,45250,관광명소
294099,Nov-21,KC495PP19N026114,함덕해수욕장,함덕해수욕장,42530,관광명소
290940,Nov-21,SAN_0546,용산,용산,42120,관광명소
294552,Nov-21,SAN_0754,황매산,황매산,40970,관광명소
294304,Nov-21,KC495PP19N026067,협재해수욕장,협재해수욕장,40650,관광명소
283774,Nov-21,KC498PP19N001608,광교호수공원,광교호수공원,40430,관광명소
288634,Nov-21,KC498PP19N000632,석촌호수,석촌호수,39880,관광명소
291367,Nov-21,SAN_0568,월악산,월악산,38790,관광명소
292945,Nov-21,KC495PP19N032678,천지연폭포,천지연폭포,37760,관광명소
283742,Nov-21,SAN_0065,관악산,관악산,37600,관광명소
287305,Nov-21,SAN_0318,변산,변산,36680,관광명소
291570,Nov-21,KC495PP19N026062,을왕리해수욕장,을왕리해수욕장,36260,관광명소
293618,Nov-21,SAN_0722,팔공산,팔공산,36250,관광명소
284622,Nov-21,SAN_0128,남산,남산,35150,관광명소
287929,Nov-21,SAN_0387,산굼부리,산굼부리,35100,관광명소
284769,Nov-21,KC498PP19N007867,내장산국립공원,내장산국립공원,34860,관광명소
283419,Nov-21,CULTURE_001445,경주대릉원,경주대릉원,31750,관광명소
288972,Nov-21,SAN_0445,소백산,소백산,31530,관광명소
283459,Nov-21,SAN_0044,계룡산,계룡산,31390,관광명소
289798,Nov-21,SAN_0477,아차산,아차산,31240,관광명소
293454,Nov-21,SAN_0708,태백산,태백산,30980,관광명소
286553,Nov-21,SAN_0249,무등산,무등산,30060,관광명소
290223,Nov-21,KC498PP19N000039,여의도한강공원,여의도한강공원,29800,관광명소
293299,Nov-21,SAN_0696,치악산,치악산,29720,관광명소
287629,Nov-21,KC498PP19N000116,북서울꿈의숲,북서울꿈의숲,29590,관광명소
285597,Nov-21,SAN_0188,도봉산,도봉산,29420,관광명소
283688,Nov-21,KC498PP19N000024,공원,공원,29210,관광명소
291767,Nov-21,KC498PP19N008147,일산호수공원,일산호수공원,29160,관광명소
293485,Nov-21,KC498PP19N008160,태종대,태종대,28000,관광명소
285928,Nov-21,SAN_0201,두타산,두타산,27720,관광명소
283114,Nov-21,SAN_0023,감악산,감악산,27590,관광명소
286107,Nov-21,SAN_0211,마산,마산,27560,관광명소
290626,Nov-21,CULTURE_001188,오죽헌,오죽헌,27240,관광명소
