SEQ,SCCNT_YM,ORIGIN_SN_ID,KWRD_NM,SRCHWRD_NM,SCCNT,ORIGIN_TY
292612,Oct-21,SAN_0649,지리산,지리산,3783900,관광명소
290174,Oct-21,KC495PP19N026010,에버랜드,에버랜드,1392500,관광명소
286055,Oct-21,KC495PP19N026003,롯데월드,롯데월드,994200,관광명소
283554,Oct-21,KC495PP19N026000,고성공룡엑스포,고성공룡엑스포,492400,관광명소
288506,Oct-21,KC495PP19N026005,서울랜드,서울랜드,466700,관광명소
283182,Oct-21,KC495PP19N026012,강원랜드,강원랜드,328500,관광명소
283385,Oct-21,CULTURE_001254,경복궁,경복궁,283600,관광명소
283148,Oct-21,CULTURE_001471,강릉,강릉,250000,관광명소
284710,Oct-21,CULTURE_001509,남한산성,남한산성,199100,관광명소
290744,Oct-21,KC498PP19N003230,올림픽공원,올림픽공원,196100,관광명소
288504,Oct-21,KC495PP19N025985,서울대공원,서울대공원,179500,관광명소
293831,Oct-21,KC498PP19N002828,하늘공원,하늘공원,176700,관광명소
288514,Oct-21,KC498PP19N008095,서울숲,서울숲,172300,관광명소
291669,Oct-21,KC495PP19N026020,이월드,이월드,160200,관광명소
288741,Oct-21,SAN_0433,설악산,설악산,151400,관광명소
289858,Oct-21,SAN_0480,안산,안산,144400,관광명소
290106,Oct-21,KC495PP19N026002,어린이대공원,어린이대공원,141210,관광명소
284764,Oct-21,SAN_0135,내장산,내장산,135800,관광명소
289385,Oct-21,KC495PP19N014706,순천만국가정원,순천만국가정원,124620,관광명소
286111,Oct-21,KC495PP19N022603,마산로봇랜드,마산로봇랜드,119350,관광명소
293726,Oct-21,KC498PP19N000298,포천아트밸리,포천아트밸리,112990,관광명소
285465,Oct-21,CULTURE_001248,덕수궁,덕수궁,111500,관광명소
292809,Oct-21,CULTURE_001249,창덕궁,창덕궁,106200,관광명소
292408,Oct-21,SAN_0638,주왕산,주왕산,104700,관광명소
294551,Oct-21,SAN_0754,황매산,황매산,103270,관광명소
293996,Oct-21,SAN_0734,한라산,한라산,101900,관광명소
290943,Oct-21,KC498PP19N005320,용산공원,용산공원,100600,관광명소
292410,Oct-21,KC498PP19N007857,주왕산국립공원,주왕산국립공원,90920,관광명소
289017,Oct-21,SAN_0448,속리산,속리산,90000,관광명소
286057,Oct-21,KC495PP19N020015,루지,루지,89910,관광명소
285236,Oct-21,SAN_0158,대둔산,대둔산,86310,관광명소
287642,Oct-21,SAN_0361,북한산,북한산,85400,관광명소
291342,Oct-21,KC495PP19N033737,월미도,월미도,83310,관광명소
291740,Oct-21,KC498PP19N008158,인천대공원,인천대공원,82820,관광명소
287083,Oct-21,SAN_0284,백두산,백두산,81500,관광명소
292801,Oct-21,CULTURE_001251,창경궁,창경궁,79100,관광명소
283113,Oct-21,SAN_0023,감악산,감악산,75580,관광명소
284548,Oct-21,KC498PP19N007232,낙산공원,낙산공원,70710,관광명소
289433,Oct-21,KC495PP19N019991,스포츠몬스터,스포츠몬스터,69110,관광명소
