SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
275213,Aug-21,SAN_0480,안산,안산,971000,관광명소
275717,Aug-21,KC495PP19N026010,에버랜드,에버랜드,628300,관광명소
269250,Aug-21,KC495PP19N026003,롯데월드,롯데월드,492700,관광명소
264708,Aug-21,KC495PP19N026012,강원랜드,강원랜드,365400,관광명소
264656,Aug-21,CULTURE_001471,강릉,강릉,253200,관광명소
273086,Aug-21,KC495PP19N026005,서울랜드,서울랜드,219000,관광명소
268149,Aug-21,KC495PP19N026068,대천해수욕장,대천해수욕장,190600,관광명소
279559,Aug-21,SAN_0649,지리산,지리산,187100,관광명소
277950,Aug-21,KC495PP19N026062,을왕리해수욕장,을왕리해수욕장,142870,관광명소
265024,Aug-21,CULTURE_001254,경복궁,경복궁,137400,관광명소
271010,Aug-21,KC495PP19N015927,백운계곡,백운계곡,122700,관광명소
274120,Aug-21,KC495PP19N032496,송추계곡,송추계곡,119640,관광명소
281304,Aug-21,KC498PP19N000298,포천아트밸리,포천아트밸리,107840,관광명소
267104,Aug-21,CULTURE_001509,남한산성,남한산성,99300,관광명소
269253,Aug-21,KC495PP19N020015,루지,루지,94450,관광명소
269461,Aug-21,KC495PP19N026071,만리포해수욕장,만리포해수욕장,94110,관광명소
273098,Aug-21,KC498PP19N008095,서울숲,서울숲,93300,관광명소
273083,Aug-21,KC495PP19N025985,서울대공원,서울대공원,91330,관광명소
273891,Aug-21,KC495PP19N026055,속초해수욕장,속초해수욕장,89400,관광명소
277592,Aug-21,KC495PP19N033737,월미도,월미도,88800,관광명소
269047,Aug-21,SAN_0201,두타산,두타산,87190,관광명소
281884,Aug-21,KC495PP19N026114,함덕해수욕장,함덕해수욕장,83780,관광명소
275605,Aug-21,KC495PP19N026002,어린이대공원,어린이대공원,83530,관광명소
278098,Aug-21,KC495PP19N026020,이월드,이월드,82420,관광명소
282198,Aug-21,KC495PP19N026067,협재해수욕장,협재해수욕장,80800,관광명소
278716,Aug-21,KC495PP19N020116,장흥계곡,장흥계곡,80580,관광명소
282812,Aug-21,KC495PP19N032727,흥정계곡,흥정계곡,78960,관광명소
270886,Aug-21,SAN_0284,백두산,백두산,78430,관광명소
274537,Aug-21,KC495PP19N019991,스포츠몬스터,스포츠몬스터,78200,관광명소
281301,Aug-21,KC495PP19N014036,포천계곡,포천계곡,77760,관광명소
265176,Aug-21,KC495PP19N035732,고기리계곡,고기리계곡,75660,관광명소
275089,Aug-21,KC495PP19N026216,아야진해수욕장,아야진해수욕장,75360,관광명소
274989,Aug-21,KC495PP19N001640,쌍곡계곡,쌍곡계곡,71900,관광명소
273996,Aug-21,KC495PP19N015834,송계계곡,송계계곡,69700,관광명소
281725,Aug-21,SAN_0734,한라산,한라산,66340,관광명소
273028,Aug-21,SAN_0416,서산,서산,62800,관광명소
273456,Aug-21,SAN_0433,설악산,설악산,58330,관광명소
269990,Aug-21,KC495PP19N026093,몽산포해수욕장,몽산포해수욕장,57160,관광명소
272006,Aug-21,KC495PP19N023376,뽀로로테마파크,뽀로로테마파크,56640,관광명소
272009,Aug-21,KC495PP19N022710,뽀로로테마파크(2020년5월예정),뽀로로테마파크,56640,관광명소
266746,Aug-21,KC495PP19N026070,꽃지해수욕장,꽃지해수욕장,56170,관광명소
265630,Aug-21,KC498PP19N001608,광교호수공원,광교호수공원,55850,관광명소
277053,Aug-21,KC495PP19N020111,용추계곡,용추계곡,55340,관광명소
271236,Aug-21,SAN_0318,변산,변산,54730,관광명소
269440,Aug-21,KC498PP19N001535,만남의광장,만남의광장,54650,관광명소
266131,Aug-21,KC495PP19N022610,군위삼국유사테마파크,군위삼국유사테마파크,53450,관광명소
266855,Aug-21,KC498PP19N007232,낙산공원,낙산공원,50690,관광명소
265537,Aug-21,KC495PP19N026121,곽지해수욕장,곽지해수욕장,50590,관광명소
274461,Aug-21,KC495PP19N014706,순천만국가정원,순천만국가정원,49430,관광명소
279688,Aug-21,KC495PP19N016013,진관사계곡,진관사계곡,48590,관광명소
280098,Aug-21,KC495PP19N032678,천지연폭포,천지연폭포,48530,관광명소
271754,Aug-21,SAN_0361,북한산,북한산,47420,관광명소
274109,Aug-21,KC495PP19N026101,송지호해수욕장,송지호해수욕장,47200,관광명소
278205,Aug-21,KC498PP19N008158,인천대공원,인천대공원,47200,관광명소
280193,Aug-21,CULTURE_001236,첨성대,첨성대,46180,관광명소
268767,Aug-21,KC495PP19N026288,동막해수욕장,동막해수욕장,45990,관광명소
268303,Aug-21,CULTURE_001248,덕수궁,덕수궁,44630,관광명소
269577,Aug-21,KC495PP19N026053,망상해수욕장,망상해수욕장,44060,관광명소
270110,Aug-21,KC495PP19N026069,무창포해수욕장,무창포해수욕장,43950,관광명소
267578,Aug-21,KC495PP19N026146,다대포해수욕장,다대포해수욕장,43850,관광명소
276924,Aug-21,SAN_0546,용산,용산,42880,관광명소
282067,Aug-21,KC495PP19N026061,해운대해수욕장,해운대해수욕장,41600,관광명소
265498,Aug-21,KC498PP19N000024,공원,공원,41020,관광명소
276614,Aug-21,KC498PP19N003230,올림픽공원,올림픽공원,40760,관광명소
266862,Aug-21,KC495PP19N026056,낙산해수욕장,낙산해수욕장,40650,관광명소
272552,Aug-21,KC495PP19N002969,삽교호놀이동산,삽교호놀이동산,40530,관광명소
265073,Aug-21,CULTURE_001445,경주대릉원,경주대릉원,40350,관광명소
269339,Aug-21,KC495PP19N022603,마산로봇랜드,마산로봇랜드,40260,관광명소
272367,Aug-21,KC495PP19N015081,삼막사계곡,삼막사계곡,40150,관광명소
276739,Aug-21,KC495PP19N026220,왕산해수욕장,왕산해수욕장,39620,관광명소
277176,Aug-21,KC495PP19N002780,우이동계곡,우이동계곡,39540,관광명소
268880,Aug-21,KC498PP19N004250,동탄호수공원,동탄호수공원,39150,관광명소
266632,Aug-21,KC495PP19N026079,김녕해수욕장,김녕해수욕장,39140,관광명소
269690,Aug-21,KC495PP19N026092,맹방해수욕장,맹방해수욕장,38780,관광명소
275210,Aug-21,KC495PP19N026214,안목해변,안목해변,38530,관광명소
281932,Aug-21,KC495PP19N013517,함허동천,함허동천,38060,관광명소
281470,Aug-21,KC495PP19N026063,하나개해수욕장,하나개해수욕장,37540,관광명소
273881,Aug-21,SAN_0448,속리산,속리산,37390,관광명소
265719,Aug-21,KC495PP19N026008,광주패밀리랜드,광주패밀리랜드,36990,관광명소
276962,Aug-21,KC495PP19N015851,용소폭포,용소폭포,36940,관광명소
280217,Aug-21,SAN_0684,청계산,청계산,36380,관광명소
281590,Aug-21,KC495PP19N026057,하조대해수욕장,하조대해수욕장,35410,관광명소
275112,Aug-21,SAN_0477,아차산,아차산,35400,관광명소
265076,Aug-21,CULTURE_001210,경주문무대왕릉,경주문무대왕릉,35360,관광명소
279878,Aug-21,CULTURE_001249,창덕궁,창덕궁,35180,관광명소
276425,Aug-21,CULTURE_001188,오죽헌,오죽헌,34980,관광명소
280554,Aug-21,KC495PP19N026110,춘장대해수욕장,춘장대해수욕장,34190,관광명소
278409,Aug-21,KC495PP19N026230,자작도해수욕장,자작도해수욕장,33720,관광명소
270454,Aug-21,KC495PP19N026168,민머루해수욕장,민머루해수욕장,33560,관광명소
279640,Aug-21,KC495PP19N000944,지장산계곡,지장산계곡,33170,관광명소
276765,Aug-21,KC495PP19N020371,왜목마을해수욕장,왜목마을해수욕장,32970,관광명소
279802,Aug-21,KC495PP19N026108,진하해수욕장,진하해수욕장,32670,관광명소
270873,Aug-21,KC495PP19N032419,백담계곡,백담계곡,32610,관광명소
275791,Aug-21,KC498PP19N000039,여의도한강공원,여의도한강공원,32610,관광명소
277270,Aug-21,KC495PP19N033732,운일암반일암,운일암반일암,32480,관광명소
282431,Aug-21,KC495PP19N032718,화양계곡,화양계곡,32370,관광명소
277664,Aug-21,SAN_0570,월출산,월출산,32180,관광명소
265615,Aug-21,SAN_0067,광교산,광교산,30940,관광명소
266059,Aug-21,KC495PP19N026274,구조라해수욕장,구조라해수욕장,30520,관광명소
278250,Aug-21,KC498PP19N008147,일산호수공원,일산호수공원,29680,관광명소
269330,Aug-21,SAN_0211,마산,마산,29630,관광명소
270750,Aug-21,KC495PP19N015692,방아머리해수욕장,방아머리해수욕장,29580,관광명소
277803,Aug-21,KC495PP19N022782,유월드루지테마파크,유월드루지테마파크,29250,관광명소
275133,Aug-21,KC495PP19N023285,아쿠아틱파크아마존,아쿠아틱파크아마존,29220,관광명소
280932,Aug-21,KC498PP19N008160,태종대,태종대,29140,관광명소
265582,Aug-21,SAN_0065,관악산,관악산,29060,관광명소
278655,Aug-21,KC495PP19N000718,장유대청계곡,장유대청계곡,28790,관광명소
274204,Aug-21,KC495PP19N015932,수락계곡,수락계곡,28530,관광명소
268506,Aug-21,KC495PP19N032373,도마치계곡,도마치계곡,28500,관광명소
268808,Aug-21,KC495PP19N015852,동산계곡,동산계곡,28400,관광명소
271731,Aug-21,KC498PP19N000116,북서울꿈의숲,북서울꿈의숲,28310,관광명소
281572,Aug-21,KC495PP19N015742,하옥계곡,하옥계곡,28170,관광명소
281484,Aug-21,KC498PP19N002828,하늘공원,하늘공원,28040,관광명소
268062,Aug-21,KC498PP19N007150,대왕암공원,대왕암공원,28010,관광명소
270041,Aug-21,SAN_0249,무등산,무등산,27920,관광명소
280420,Aug-21,KC495PP19N026245,청포대해수욕장,청포대해수욕장,27850,관광명소
267937,Aug-21,SAN_0158,대둔산,대둔산,27810,관광명소
277438,Aug-21,KC495PP19N015060,원마운트,원마운트,27730,관광명소
269826,Aug-21,KC495PP19N032394,명지계곡,명지계곡,27630,관광명소
274207,Aug-21,SAN_0453,수락산,수락산,27570,관광명소
279868,Aug-21,CULTURE_001251,창경궁,창경궁,27490,관광명소
268379,Aug-21,KC495PP19N032371,덕풍계곡,덕풍계곡,27040,관광명소
276948,Aug-21,KC495PP19N023354,용소계곡,용소계곡,26900,관광명소
281141,Aug-21,SAN_0722,팔공산,팔공산,26780,관광명소
270161,Aug-21,KC495PP19N032408,문동폭포,문동폭포,26720,관광명소
265282,Aug-21,KC495PP19N026000,고성공룡엑스포,고성공룡엑스포,26570,관광명소
274906,Aug-21,KC495PP19N033703,신흥레저타운,신흥레저타운,26560,관광명소
281089,Aug-21,KC495PP19N022642,트윈터널,트윈터널,26520,관광명소
277631,Aug-21,SAN_0568,월악산,월악산,26510,관광명소
281321,Aug-21,KC495PP19N026112,표선해수욕장,표선해수욕장,26470,관광명소
270092,Aug-21,KC495PP19N025291,무주반디랜드,무주반디랜드,26140,관광명소
266392,Aug-21,SAN_0105,금산,금산,26070,관광명소
269207,Aug-21,KC498PP19N008156,뚝섬한강공원,뚝섬한강공원,25890,관광명소
266969,Aug-21,SAN_0128,남산,남산,25720,관광명소
273333,Aug-21,CULTURE_001322,선릉,선릉,25670,관광명소
271244,Aug-21,KC495PP19N026065,변산해수욕장,변산해수욕장,25610,관광명소
271587,Aug-21,KC495PP19N001193,부곡하와이,부곡하와이,25610,관광명소
273307,Aug-21,KC495PP19N026192,선녀바위해수욕장,선녀바위해수욕장,25560,관광명소
265676,Aug-21,KC495PP19N026060,광안리해수욕장,광안리해수욕장,25550,관광명소
273678,Aug-21,KC498PP19N003258,세종호수공원,세종호수공원,25440,관광명소
280644,Aug-21,SAN_0696,치악산,치악산,25380,관광명소
273289,Aug-21,KC498PP19N000632,석촌호수,석촌호수,25350,관광명소
272507,Aug-21,KC495PP19N026054,삼척해수욕장,삼척해수욕장,25330,관광명소
282476,Aug-21,KC495PP19N026052,화진포해수욕장,화진포해수욕장,25310,관광명소
273403,Aug-21,KC495PP19N000987,선유도해수욕장,선유도해수욕장,25280,관광명소
269376,Aug-21,SAN_0213,마이산,마이산,25170,관광명소
268888,Aug-21,KC495PP19N014000,동학사계곡,동학사계곡,24940,관광명소
267187,Aug-21,SAN_0134,내연산,내연산,24340,관광명소
271146,Aug-21,KC495PP19N001536,벌천포해수욕장,벌천포해수욕장,24030,관광명소
279401,Aug-21,KC495PP19N026066,중문색달해수욕장,중문색달해수욕장,23980,관광명소
280145,Aug-21,KC495PP19N023567,철구소계곡,철구소계곡,23870,관광명소
