SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
250622,Jun-21,KC495PP19N026010,에버랜드,에버랜드,804200,관광명소
238330,Jun-21,KC495PP19N026003,롯데월드,롯데월드,624900,관광명소
229731,Jun-21,KC495PP19N026012,강원랜드,강원랜드,413700,관광명소
245602,Jun-21,KC495PP19N026005,서울랜드,서울랜드,246800,관광명소
229630,Jun-21,CULTURE_001471,강릉,강릉,226500,관광명소
230322,Jun-21,CULTURE_001254,경복궁,경복궁,189400,관광명소
257941,Jun-21,SAN_0649,지리산,지리산,181600,관광명소
245626,Jun-21,KC498PP19N008095,서울숲,서울숲,143000,관광명소
255104,Jun-21,KC495PP19N026020,이월드,이월드,137300,관광명소
236233,Jun-21,KC495PP19N026068,대천해수욕장,대천해수욕장,119500,관광명소
245596,Jun-21,KC495PP19N025985,서울대공원,서울대공원,114500,관광명소
250416,Jun-21,KC495PP19N026002,어린이대공원,어린이대공원,108540,관광명소
262351,Jun-21,KC495PP19N026114,함덕해수욕장,함덕해수욕장,102000,관광명소
261246,Jun-21,KC498PP19N000298,포천아트밸리,포천아트밸리,101880,관광명소
234258,Jun-21,CULTURE_001509,남한산성,남한산성,97800,관광명소
254817,Jun-21,KC495PP19N026062,을왕리해수욕장,을왕리해수욕장,96860,관광명소
262950,Jun-21,KC495PP19N026067,협재해수욕장,협재해수욕장,95900,관광명소
262047,Jun-21,SAN_0734,한라산,한라산,90500,관광명소
254132,Jun-21,KC495PP19N033737,월미도,월미도,83800,관광명소
252337,Jun-21,KC498PP19N003230,올림픽공원,올림픽공원,71770,관광명소
247568,Jun-21,KC495PP19N032496,송추계곡,송추계곡,70120,관광명소
241407,Jun-21,SAN_0284,백두산,백두산,69400,관광명소
260529,Jun-21,KC498PP19N008160,태종대,태종대,68750,관광명소
249653,Jun-21,SAN_0480,안산,안산,67800,관광명소
231474,Jun-21,KC498PP19N001608,광교호수공원,광교호수공원,66710,관광명소
245492,Jun-21,SAN_0416,서산,서산,66200,관광명소
238336,Jun-21,KC495PP19N020015,루지,루지,64980,관광명소
238499,Jun-21,KC495PP19N022603,마산로봇랜드,마산로봇랜드,64170,관광명소
243537,Jun-21,KC495PP19N023376,뽀로로테마파크,뽀로로테마파크,63940,관광명소
243543,Jun-21,KC495PP19N022710,뽀로로테마파크(2020년5월예정),뽀로로테마파크,63940,관광명소
258938,Jun-21,KC495PP19N032678,천지연폭포,천지연폭포,63530,관광명소
233782,Jun-21,KC498PP19N007232,낙산공원,낙산공원,60520,관광명소
248228,Jun-21,KC495PP19N014706,순천만국가정원,순천만국가정원,59510,관광명소
258519,Jun-21,CULTURE_001249,창덕궁,창덕궁,58300,관광명소
246313,Jun-21,SAN_0433,설악산,설악산,57600,관광명소
237944,Jun-21,SAN_0201,두타산,두타산,56820,관광명소
243048,Jun-21,SAN_0361,북한산,북한산,55280,관광명소
249413,Jun-21,KC495PP19N026216,아야진해수욕장,아야진해수욕장,54920,관광명소
248368,Jun-21,KC495PP19N019991,스포츠몬스터,스포츠몬스터,54760,관광명소
231293,Jun-21,KC495PP19N026121,곽지해수욕장,곽지해수욕장,53340,관광명소
247142,Jun-21,KC495PP19N026055,속초해수욕장,속초해수욕장,53040,관광명소
259129,Jun-21,CULTURE_001236,첨성대,첨성대,52500,관광명소
236538,Jun-21,CULTURE_001248,덕수궁,덕수궁,52380,관광명소
255315,Jun-21,KC498PP19N008158,인천대공원,인천대공원,51040,관광명소
250767,Jun-21,KC498PP19N000039,여의도한강공원,여의도한강공원,50420,관광명소
249647,Jun-21,KC495PP19N026214,안목해변,안목해변,45870,관광명소
233570,Jun-21,KC495PP19N026070,꽃지해수욕장,꽃지해수욕장,45270,관광명소
