SEQ,SCCNT_YM,ORIGIN_SN_ID,KWRD_NM,SRCHWRD_NM,SCCNT,ORIGIN_TY
338708,22-May,KC495PP19N026010,에버랜드,에버랜드,1579200,관광명소
336450,22-May,KC495PP19N026003,롯데월드,롯데월드,1141500,관광명소
337793,22-May,KC495PP19N026005,서울랜드,서울랜드,504100,관광명소
334995,22-May,CULTURE_001254,경복궁,경복궁,378500,관광명소
338673,22-May,KC495PP19N026002,어린이대공원,어린이대공원,257600,관광명소
334887,22-May,KC495PP19N026012,강원랜드,강원랜드,245300,관광명소
337797,22-May,KC498PP19N008095,서울숲,서울숲,235300,관광명소
337792,22-May,KC495PP19N025985,서울대공원,서울대공원,225600,관광명소
334871,22-May,CULTURE_001471,강릉,강릉,213500,관광명소
339517,22-May,KC495PP19N026020,이월드,이월드,189700,관광명소
336361,22-May,KC495PP19N033893,두리랜드(공사중),두리랜드,164900,관광명소
336482,22-May,KC495PP19N022603,마산로봇랜드,마산로봇랜드,146190,관광명소
339012,22-May,KC498PP19N003230,올림픽공원,올림픽공원,142000,관광명소
338734,22-May,KC498PP19N000039,여의도한강공원,여의도한강공원,124150,관광명소
336927,22-May,KC498PP19N008149,반포한강공원,반포한강공원,117170,관광명소
340030,22-May,SAN_0649,지리산,지리산,115000,관광명소
339341,22-May,KC495PP19N033737,월미도,월미도,109100,관광명소
341095,22-May,SAN_0754,황매산,황매산,107600,관광명소
340142,22-May,CULTURE_001249,창덕궁,창덕궁,106700,관광명소
335713,22-May,CULTURE_001509,남한산성,남한산성,101200,관광명소
336081,22-May,KC495PP19N026068,대천해수욕장,대천해수욕장,100700,관광명소
336133,22-May,CULTURE_001248,덕수궁,덕수궁,100500,관광명소
340793,22-May,SAN_0734,한라산,한라산,99100,관광명소
336435,22-May,KC498PP19N008156,뚝섬한강공원,뚝섬한강공원,98360,관광명소
335237,22-May,KC495PP19N026008,광주패밀리랜드,광주패밀리랜드,92520,관광명소
339120,22-May,SAN_0546,용산,용산,91900,관광명소
339248,22-May,KC495PP19N026021,울산대공원,울산대공원,85790,관광명소
339557,22-May,KC498PP19N008158,인천대공원,인천대공원,85370,관광명소
340643,22-May,KC498PP19N000298,포천아트밸리,포천아트밸리,82510,관광명소
338278,22-May,KC495PP19N014706,순천만국가정원,순천만국가정원,81510,관광명소
338541,22-May,SAN_0480,안산,안산,81500,관광명소
